Time (Date hh:mm:ss.ms),L-Max dB -A,LEQ dB -A,L-Min dB -A,L-PeakdB -A
2025/03/28 10:28:00,61.923247,53.723247,38.223247,95.323247
2025/03/28 10:29:00,75.223247,59.123247,36.123247,101.923247
2025/03/28 10:30:00,66.023247,59.223247,43.623247,94.223247
2025/03/28 10:31:00,63.823247,57.023247,45.723247,81.923247
2025/03/28 10:32:00,65.323247,57.023247,41.623247,83.223247
2025/03/28 10:33:00,58.123247,50.723247,42.123247,75.623247
2025/03/28 10:34:00,58.023247,48.423247,42.823247,78.923247
2025/03/28 10:35:00,52.923247,44.423247,41.423247,72.723247
2025/03/28 10:36:00,52.323247,43.723247,41.323247,70.823247
2025/03/28 10:37:00,49.723247,46.023247,42.123247,72.223247
2025/03/28 10:38:00,46.823247,42.923247,40.223247,67.923247
2025/03/28 10:39:00,45.223247,41.523247,40.423247,71.223247
2025/03/28 10:40:00,53.423247,45.923247,40.623247,77.223247
2025/03/28 10:41:00,59.123247,49.923247,40.323247,75.223247
2025/03/28 10:42:00,58.223247,48.523247,40.423247,75.223247
2025/03/28 10:43:00,63.723247,53.823247,41.423247,87.523247
2025/03/28 10:44:00,60.223247,52.323247,43.423247,82.023247
2025/03/28 10:45:00,67.023247,55.623247,43.223247,90.323247
2025/03/28 10:46:00,62.023247,53.523247,40.123247,86.023247
2025/03/28 10:47:00,71.423247,62.823247,50.123247,89.423247
2025/03/28 10:48:00,65.423247,55.223247,47.023247,87.623247
2025/03/28 10:49:00,61.123247,51.423247,39.923247,79.823247
2025/03/28 10:50:00,61.723247,52.323247,33.723247,86.923247
2025/03/28 10:51:00,62.923247,49.423247,33.923247,85.023247
2025/03/28 10:52:00,59.223247,49.423247,35.623247,80.323247
2025/03/28 10:53:00,60.323247,50.223247,33.923247,80.523247
2025/03/28 10:54:00,57.623247,45.223247,33.423247,78.323247
2025/03/28 10:55:00,52.423247,42.123247,32.923247,75.823247
2025/03/28 10:56:00,52.923247,42.223247,33.123247,68.023247
2025/03/28 10:57:00,52.723247,44.423247,33.523247,71.323247
2025/03/28 10:58:00,54.323247,41.323247,32.923247,72.123247
2025/03/28 10:59:00,57.923247,43.523247,33.723247,74.023247
2025/03/28 11:00:00,52.723247,40.523247,33.423247,75.023247
2025/03/28 11:01:00,69.523247,55.623247,37.623247,94.123247
2025/03/28 11:02:00,63.323247,52.723247,39.623247,88.223247
2025/03/28 11:03:00,61.323247,48.423247,35.323247,84.223247
2025/03/28 11:04:00,61.123247,50.123247,34.523247,78.923247
2025/03/28 11:05:00,58.723247,49.823247,35.623247,76.323247
2025/03/28 11:06:00,57.923247,49.423247,38.723247,74.323247
2025/03/28 11:07:00,61.823247,51.423247,37.723247,79.823247
2025/03/28 11:08:00,69.023247,60.123247,47.423247,83.423247
2025/03/28 11:09:00,66.223247,57.623247,48.723247,85.923247
2025/03/28 11:10:00,66.323247,53.923247,37.023247,86.623247
2025/03/28 11:11:00,67.923247,58.223247,43.723247,84.723247
2025/03/28 11:12:00,67.023247,58.523247,44.023247,86.723247
2025/03/28 11:13:00,66.723247,55.823247,44.023247,84.223247
2025/03/28 11:14:00,66.323247,55.523247,42.623247,87.523247
2025/03/28 11:15:00,78.023247,66.123247,52.823247,95.723247
2025/03/28 11:16:00,70.723247,60.923247,44.423247,95.323247
2025/03/28 11:17:00,70.723247,61.523247,53.723247,89.223247
2025/03/28 11:18:00,67.623247,58.323247,52.023247,82.223247
2025/03/28 11:19:00,66.723247,56.723247,48.523247,87.123247
2025/03/28 11:20:00,64.623247,57.023247,49.423247,82.023247
2025/03/28 11:21:00,60.223247,55.823247,49.023247,79.023247
2025/03/28 11:22:00,66.623247,57.623247,49.623247,80.823247
2025/03/28 11:23:00,69.323247,57.723247,51.823247,85.023247
2025/03/28 11:24:00,76.323247,61.523247,49.823247,96.823247
2025/03/28 11:25:00,65.523247,58.623247,52.323247,80.123247
2025/03/28 11:26:00,59.323247,55.023247,49.923247,77.623247
2025/03/28 11:27:00,67.123247,59.923247,51.223247,84.223247
2025/03/28 11:28:00,64.023247,57.723247,51.123247,87.523247
2025/03/28 11:29:00,65.723247,58.023247,52.423247,81.123247
2025/03/28 11:30:00,61.723247,56.723247,51.923247,76.323247
2025/03/28 11:31:00,60.923247,55.023247,50.223247,78.523247
2025/03/28 11:32:00,61.723247,56.523247,50.523247,77.723247
2025/03/28 11:33:00,65.723247,57.923247,47.923247,81.723247
2025/03/28 11:34:00,63.123247,55.923247,49.323247,79.423247
2025/03/28 11:35:00,63.923247,55.723247,49.223247,77.023247
2025/03/28 11:36:00,59.723247,55.123247,49.523247,77.123247
2025/03/28 11:37:00,60.523247,54.923247,49.123247,77.523247
2025/03/28 11:38:00,64.323247,58.023247,48.423247,80.723247
2025/03/28 11:39:00,59.323247,53.623247,47.823247,76.823247
2025/03/28 11:40:00,57.823247,52.523247,44.023247,76.023247
