location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
ENZO,53.533324,-113.510945,,,Visible,t,,506080, 2024-06-10 15:30:21
KR-1,53.559920,-113.466030,,,Visible,t,,478032, 2023-05-12 15:35:34
KR-2,53.558870,-113.464150,,,Visible,t,,478033, 2023-05-12 15:35:47
KR-3,53.558890,-113.461660,,,Visible,t,,478034, 2023-05-12 15:35:57
ADAIR,53.526406,-113.516648,,,Visible,t,,506081, 2024-06-10 15:31:18
KR-10,53.557430,-113.456100,,,Visible,t,,478035, 2023-05-12 15:36:07
EDALA01FOH1,53.544204,-113.460191,,400,Visible,t,,542130, 2025-06-11 15:19:34
EDALA01MCC1,53.554930,-113.467100,,400,Visible,f,,542405, 2025-06-18 18:31:21
EDALA01RIC1,53.561460,-113.422660,,,Visible,t,,545594, 2025-07-23 03:06:42
EDALA01RIV1,53.552950,-113.448160,,400,Visible,f,,542679, 2025-06-24 19:18:40
EDALA01RVK1,53.557880,-113.453030,,400,Visible,t,,540284, 2025-03-26 18:45:19
EDALA01RVK2,53.557980,-113.453620,,400,Visible,f,,542680, 2025-06-24 19:18:59
EDALA01TEH1,53.546070,-113.439480,,400,Visible,t,,540282, 2025-03-26 18:45:19
EDALA01VIP3,53.561530,-113.458850,,400,Visible,f,,542420, 2025-06-19 23:49:47
EDALA02ABB1,53.571750,-113.376310,,400,Visible,t,,540283, 2025-03-26 18:45:19
EDALA02CAR1,53.584790,-113.379770,,400,Visible,t,,540280, 2025-03-26 18:45:19
EDALA02CLA1,53.605410,-113.405050,,400,Visible,f,,542417, 2025-06-19 23:45:54
EDALA02GSP1,53.548230,-113.403990,,400,Visible,t,,540276, 2025-03-26 18:45:19
EDALA02HAI1,53.603150,-113.390990,,400,Visible,f,,542419, 2025-06-19 23:46:37
EDALA02HIG1,53.567930,-113.431160,,400,Visible,f,,543004, 2025-07-02 00:39:43
EDALA02KER1,53.588390,-113.395460,,400,Visible,t,,540278, 2025-03-26 18:45:19
