OBJECTID,old_name,location,Site_VM,Quadrant,Section,F3letter,LocationName,longitude,latitude,uwin,early_spring,late_spring,Notes
1,EDALB04DEC1,EDAL-B04-DEC1,EDALB04DEC1,B,4,DEC,Decoteau,-113.399,53.41653,TRUE,TRUE,,
2,EDALC04RIA3,EDAL-C04-RIA3,EDALC04RIA3,C,4,RIA,Riverview Area 3,-113.686,53.41388,TRUE,TRUE,,
3,EDALC04BIG1,EDAL-C04-BIG1,EDALC04BIG1,C,4,BIG,Big Island,-113.665,53.42811,TRUE,TRUE,,
4,EDAL-NONAME5,EDAL-C03-RVC3,EDALC03RVC3,C,3,RVC,River Valley Cameron 3,-113.639,53.47681,,TRUE,,Wedgewood
5,EDAL-NONAME6,EDAL-D03-TUC1,EDALD03TUC1,D,3,TUC,TUC NW,-113.655,53.54717,,TRUE,,Kirk Lake (Province)
6,EDAL-NONAME7,EDAL-D03-HSL1,EDALD03HSL1,D,3,HSL,Horseshoe Lake,-113.67,53.5857,,TRUE,,Greenlink
7,EDAL-NONAME8,EDAL-D03-KLK1,EDALC03KLK1,D,3,KLK,Kirk Lake,-113.654,53.57941,,TRUE,,
8,EDAL-NONAME13,EDAL-A03-ARM2,EDALA03ARM2,A,3,ARM 2.00,Arum 2,-113.325,53.5899,,TRUE,,
9,EDALB02ROR1,EDAL-B02-ROR1,EDALB02ROR1,B,2,ROR,Roper Road,-113.434,53.49567,TRUE,TRUE,,
10,EDALA02KER1,EDAL-A02-KER1,EDALA02KER1,A,2,KER,Kennedale Ravine,-113.395,53.5888,TRUE,TRUE,,
11,EDALA04HOH1,EDAL-A04-HOH1,EDALA04HOH1,A,4,HOH,Horse Hill,-113.333,53.67181,TRUE,TRUE,,
12,EDALB01MUT2,EDAL-B01-MUT2,EDALB01MUT2,B,1,MUT,Muttart 2,-113.477,53.52941,TRUE,TRUE,,
13,EDALC03HOD1,EDAL-C03-HOD1,EDALC03HOD1,C,3,HOD,Hodgson,-113.548,53.45664,TRUE,TRUE,,
14,EDALD03GOC1,EDAL-D03-GOC1,EDALD03GOC1,D,3,GOC,Goodridge Corner,-113.553,53.64126,TRUE,TRUE,,
15,EDAL-NONAME9,EDAL-A01-RVK1,EDALA01RVK1,A,1,RVK,RV Kinnard,-113.453,53.55811,,TRUE,,
16,EDALC02ZOO2,EDAL-C02-ZOO2,EDALC02ZOO2,C,2,ZOO,Zoo 2,-113.561,53.50836,TRUE,TRUE,,
17,EDAL-NONAME10,EDAL-C01-RVM3,EDALC01RVM3,C,1,RVM,RV Mayfair 3,-113.554,53.53529,,TRUE,,
18,EDALA02CAR1,EDAL-A02-CAR1,EDALA02CAR1,A,2,CAR,Canon Ridge,-113.38,53.5848,TRUE,TRUE,,
19,EDAL-NONAME11,EDAL-C02-WCS1,EDALC02WCS1,C,2,WCS,Whitemud Creek South,-113.553,53.46092,,TRUE,,
20,EDAL-NONAME12,EDAL-C03-TUC1,EDALC03TUC1,C,3,TUC1,TUC SW,-113.648,53.46987,,TRUE,,
21,EDAL-NONAME3,EDAL-A03-CRY1,EDALA03CRY1,A,3,CRY1,Crystallina,-113.464,53.63836,,,TRUE,
22,EDAL-NONAME1,EDAL-A02-DUN1,EDALA02DUN1,A,2,DUN1,Dunluce,-113.532,53.62083,,,TRUE,
23,EDAL-NONAME2,EDAL-A02-BAR1,EDALA02BAR1,A,2,BAR,Baranow,-113.536,53.60638,,,TRUE,
24,EDALD03RAP1,EDAL-D03-RAP1,EDALD03RAP1,D,3,RAP,Rapperswill,-113.533,53.63572,TRUE,,TRUE,
25,EDALA02ABB1,EDAL-A02-ABB1,EDALA02ABB1,A,2,ABB,Abbottsfield,-113.378,53.56956,TRUE,,TRUE,
26,EDALC02RVA1,EDAL-C02-RVA1,EDALC02RVA1,C,1,RVA,R.V. Aspen Gardens,-113.555,53.48214,TRUE,,TRUE,
27,EDALB01RIT1,EDAL-B01-RIT1,EDALB01RIT1,B,1,RIT,Ritchie,-113.473,53.51948,TRUE,,TRUE,
28,EDALB02SIB1,EDAL-B02-SIB1,EDALB02SIB1,B,2,SIB,Silver Berry,-113.39,53.4644,TRUE,,TRUE,
29,EDALA01TEH1,EDAL-A01-TEH1,EDALA01TEH1,A,1,TEH,Terrace Heights,-113.438,53.54581,TRUE,,TRUE,
30,EDALA02BEL1,EDAL-A02-BEL1,EDALA02BEL1,A,2,BEL,Belvedere,-113.435,53.59294,TRUE,,TRUE,
31,EDAL-NONAME4,EDAL-A02-GSP1,EDALA02GSP1,A,2,GSP,Goldstick Park,-113.404,53.54845,,,TRUE,
32,EDALC02WWR1,EDAL-C02-WWR1,EDALC02WWR1,C,2,WWR,Wolf Willow Ravine,-113.602,53.5026,TRUE,,TRUE,
