Location,Latitude,Longitude
YEG-1,53.4167,-113.7167
YEG-2,53.4167,-113.7015842
YEG-3,53.4167,-113.6864684
YEG-4,53.4167,-113.6713526
YEG-5,53.4167,-113.6562369
YEG-6,53.4167,-113.6411211
YEG-7,53.4167,-113.6260053
YEG-8,53.4167,-113.6108895
YEG-9,53.4167,-113.5957737
YEG-10,53.4167,-113.5806579
YEG-11,53.4167,-113.5655421
YEG-12,53.4167,-113.5504263
YEG-13,53.4167,-113.5353106
YEG-14,53.4167,-113.5201948
YEG-15,53.4167,-113.505079
YEG-16,53.4167,-113.4899632
YEG-17,53.4167,-113.4748474
YEG-18,53.4167,-113.4597316
YEG-19,53.4167,-113.4446158
YEG-20,53.4167,-113.4295
YEG-21,53.4167,-113.4143843
YEG-22,53.4167,-113.3992685
YEG-23,53.4167,-113.3841527
YEG-24,53.4167,-113.3690369
YEG-25,53.4167,-113.3539211
YEG-26,53.4167,-113.3388053
YEG-27,53.42570901,-113.7167
YEG-28,53.42570901,-113.7015842
YEG-29,53.42570901,-113.6864684
YEG-30,53.42570901,-113.6713526
YEG-31,53.42570901,-113.6562369
YEG-32,53.42570901,-113.6411211
YEG-33,53.42570901,-113.6260053
YEG-34,53.42570901,-113.6108895
YEG-35,53.42570901,-113.5957737
YEG-36,53.42570901,-113.5806579
YEG-37,53.42570901,-113.5655421
YEG-38,53.42570901,-113.5504263
YEG-39,53.42570901,-113.5353106
YEG-40,53.42570901,-113.5201948
YEG-41,53.42570901,-113.505079
YEG-42,53.42570901,-113.4899632
YEG-43,53.42570901,-113.4748474
YEG-44,53.42570901,-113.4597316
YEG-45,53.42570901,-113.4446158
YEG-46,53.42570901,-113.4295
YEG-47,53.42570901,-113.4143843
YEG-48,53.42570901,-113.3992685
YEG-49,53.42570901,-113.3841527
YEG-50,53.42570901,-113.3690369
YEG-51,53.42570901,-113.3539211
YEG-52,53.42570901,-113.3388053
YEG-53,53.43471802,-113.7167
YEG-54,53.43471802,-113.7015842
YEG-55,53.43471802,-113.6864684
YEG-56,53.43471802,-113.6713526
YEG-57,53.43471802,-113.6562369
YEG-58,53.43471802,-113.6411211
YEG-59,53.43471802,-113.6260053
YEG-60,53.43471802,-113.6108895
YEG-61,53.43471802,-113.5957737
YEG-62,53.43471802,-113.5806579
YEG-63,53.43471802,-113.5655421
YEG-64,53.43471802,-113.5504263
YEG-65,53.43471802,-113.5353106
YEG-66,53.43471802,-113.5201948
YEG-67,53.43471802,-113.505079
YEG-68,53.43471802,-113.4899632
YEG-69,53.43471802,-113.4748474
YEG-70,53.43471802,-113.4597316
YEG-71,53.43471802,-113.4446158
YEG-72,53.43471802,-113.4295
YEG-73,53.43471802,-113.4143843
YEG-74,53.43471802,-113.3992685
YEG-75,53.43471802,-113.3841527
YEG-76,53.43471802,-113.3690369
YEG-77,53.43471802,-113.3539211
YEG-78,53.43471802,-113.3388053
YEG-79,53.44372703,-113.7167
YEG-80,53.44372703,-113.7015842
YEG-81,53.44372703,-113.6864684
YEG-82,53.44372703,-113.6713526
YEG-83,53.44372703,-113.6562369
YEG-84,53.44372703,-113.6411211
YEG-85,53.44372703,-113.6260053
YEG-86,53.44372703,-113.6108895
YEG-87,53.44372703,-113.5957737
YEG-88,53.44372703,-113.5806579
YEG-89,53.44372703,-113.5655421
YEG-90,53.44372703,-113.5504263
YEG-91,53.44372703,-113.5353106
YEG-92,53.44372703,-113.5201948
YEG-93,53.44372703,-113.505079
YEG-94,53.44372703,-113.4899632
YEG-95,53.44372703,-113.4748474
YEG-96,53.44372703,-113.4597316
YEG-97,53.44372703,-113.4446158
YEG-98,53.44372703,-113.4295
YEG-99,53.44372703,-113.4143843
YEG-100,53.44372703,-113.3992685
YEG-101,53.44372703,-113.3841527
YEG-102,53.44372703,-113.3690369
YEG-103,53.44372703,-113.3539211
YEG-104,53.44372703,-113.3388053
YEG-105,53.45273604,-113.7167
YEG-106,53.45273604,-113.7015842
YEG-107,53.45273604,-113.6864684
YEG-108,53.45273604,-113.6713526
YEG-109,53.45273604,-113.6562369
YEG-110,53.45273604,-113.6411211
YEG-111,53.45273604,-113.6260053
YEG-112,53.45273604,-113.6108895
YEG-113,53.45273604,-113.5957737
YEG-114,53.45273604,-113.5806579
YEG-115,53.45273604,-113.5655421
YEG-116,53.45273604,-113.5504263
