WKT,location,latitude,longitude,type
"POINT (-113.398985 53.416533)",EDALB04DEC1,53.416533,-113.398985,uwin
"POINT (-113.6846074 53.4131853)",YEGBIRD1,53.4131853,-113.6846074,acoustic
"POINT (-113.6650991 53.4283952)",YEGBIRD2,53.4283952,-113.6650991,acoustic
"POINT (-113.6402296 53.4760498)",YEGBIRD3,53.4760498,-113.6402296,acoustic
"POINT (-113.6552531 53.547165)",YEGBIRD4,53.547165,-113.6552531,acoustic
"POINT (-113.691549 53.582332)",EDALD03HAP1,53.582332,-113.691549,uwin
"POINT (-113.669721 53.585699)",YEGBIRD5,53.585699,-113.669721,acoustic
"POINT (-113.6305823 53.5778009)",YEGBIRD6,53.5778009,-113.6305823,acoustic
"POINT (-113.6567606 53.5780557)",YEGBIRD7,53.5780557,-113.6567606,acoustic
"POINT (-113.5152729 53.572586)",YEGBIRD8,53.572586,-113.5152729,acoustic
"POINT (-113.322692 53.588089)",EDALA03ARM1,53.588089,-113.322692,uwin
"POINT (-113.433985 53.495673)",EDALB02ROR1,53.495673,-113.433985,uwin
"POINT (-113.394985 53.588803)",EDALA02KER1,53.588803,-113.394985,uwin
"POINT (-113.332985 53.671813)",EDALA04HOH1,53.671813,-113.332985,uwin
"POINT (-113.476985 53.529413)",EDALB01MUT2,53.529413,-113.476985,uwin
"POINT (-113.548136 53.456638)",EDALC03HOD1,53.456638,-113.548136,uwin
"POINT (-113.552985 53.641263)",EDALD03GOC1,53.641263,-113.552985,uwin
"POINT (-113.452606 53.5581149)",EDALA01KNR1,53.5581149,-113.452606,acoustic
"POINT (-113.5579972 53.5088367)",ZOO1,53.5088367,-113.5579972,
