Location,longitude,latitude
YEG-3,-113.6864684,53.4167
YEG-30,-113.6713526,53.42570901
YEG-37,-113.5655421,53.42570901
YEG-41,-113.505079,53.42570901
YEG-92,-113.5201948,53.44372703
YEG-144,-113.5201948,53.46174505
YEG-164,-113.6108895,53.47075405
YEG-179,-113.3841527,53.47075405
YEG-188,-113.6411211,53.47976306
YEG-203,-113.4143843,53.47976306
YEG-216,-113.6108895,53.48877207
YEG-228,-113.4295,53.48877207
YEG-245,-113.5655421,53.49778108
YEG-247,-113.5353106,53.49778108
YEG-253,-113.4446158,53.49778108
YEG-254,-113.4295,53.49778108
YEG-256,-113.3992685,53.49778108
YEG-273,-113.5353106,53.50679009
YEG-297,-113.5655421,53.5157991
YEG-298,-113.5504263,53.5157991
YEG-299,-113.5353106,53.5157991
YEG-349,-113.5655421,53.53381712
YEG-354,-113.4899632,53.53381712
YEG-376,-113.5504263,53.54282613
YEG-379,-113.505079,53.54282613
YEG-401,-113.5655421,53.55183514
YEG-403,-113.5353106,53.55183514
YEG-404,-113.5201948,53.55183514
YEG-429,-113.5353106,53.56084414
YEG-438,-113.3992685,53.56084414
YEG-471,-113.6864684,53.57886216
YEG-479,-113.5655421,53.57886216
YEG-483,-113.505079,53.57886216
YEG-517,-113.3841527,53.58787117
YEG-556,-113.5806579,53.60588919
YEG-569,-113.3841527,53.60588919
YEG-624,-113.3388053,53.62390721
YEG-637,-113.5353106,53.63291622
YEG-650,-113.3388053,53.63291622
YEG-662,-113.5504263,53.64192523
